410.0000.201900.000000.720.0000000                                                                                                                         	410                      	201900                   	720                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
410.0000.201900.000000.740.0000000                                                                                                                         	410                      	201900                   	740                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
430.0000.201100.000000.000.0000000                                                                                                                         	430                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -9799207.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
440.0000.201100.000000.000.0000000                                                                                                                         	440                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
470.0000.201100.000000.000.0000000                                                                                                                         	470                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -2065860.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
470.0000.201900.000000.110.0000000                                                                                                                         	470                      	201900                   	110                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -3580321.8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
470.0000.201900.000000.130.0000000                                                                                                                         	470                      	201900                   	130                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -681046.38                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
470.0000.201900.000000.300.0000000                                                                                                                         	470                      	201900                   	300                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
470.0000.201900.000000.410.0000000                                                                                                                         	470                      	201900                   	410                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -527431.97                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
470.0000.201900.000000.470.0000000                                                                                                                         	470                      	201900                   	470                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -3085976.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
490.0000.201100.000000.000.0000000                                                                                                                         	490                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -1195026.7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
490.0000.201900.000000.130.0000000                                                                                                                         	490                      	201900                   	130                      	 	 	 	 	 	 	 	01/31/2017	 	 	                -190905.2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
710.0000.201100.000000.000.0000000                                                                                                                         	710                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -101669.57                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
